Date,NIFTY 50,HDFC LIQUID FUND,NIFTY MIDCAP 100,Date1,,,
02-Dec-20,13113.75,3978.7893,20001.7,02/12/2020,,,
01-Dec-20,13109.05,3979.0678,19903.9,01/12/2020,,,
27-Nov-20,12968.95,3979.0994,19715.1,30/11/2020,,,
26-Nov-20,12987,3978.8122,19196.45,29/11/2020,,,
25-Nov-20,12858.4,3978.5247,19032.6,28/11/2020,,,
24-Nov-20,13055.15,3978.2371,19352.25,27/11/2020,,,
23-Nov-20,12926.45,3977.9069,19211.4,26/11/2020,,,
20-Nov-20,12859.05,3977.4312,18962.55,25/11/2020,,,
19-Nov-20,12771.7,3976.9529,18802.3,24/11/2020,,,
18-Nov-20,12938.25,3976.7016,18924.15,23/11/2020,,,
17-Nov-20,12874.2,3976.47,18652.3,22/11/2020,,,
14-Nov-20,12780.25,3976.179,18447.65,21/11/2020,,,`
13-Nov-20,12719.95,3975.8881,18353.4,20/11/2020,,,
12-Nov-20,12690.8,3975.6552,18182.9,19/11/2020,,,
11-Nov-20,12749.15,3975.1318,18075,18/11/2020,,,
10-Nov-20,12631.1,3974.5704,18007.95,17/11/2020,,,
09-Nov-20,12461.05,3974.2289,17957.4,16/11/2020,,,
06-Nov-20,12263.55,3973.9292,17802.75,15/11/2020,,,
05-Nov-20,12120.3,3973.6296,17676.9,14/11/2020,,,
04-Nov-20,11908.5,3973.3308,17367.05,13/11/2020,,,
03-Nov-20,11813.5,3972.9936,17254.9,12/11/2020,,,
02-Nov-20,11669.15,3972.5346,17135.2,11/11/2020,,,
30-Oct-20,11642.4,3972.1751,17066.5,10/11/2020,,,
29-Oct-20,11670.8,3971.867,16974.05,09/11/2020,,,
28-Oct-20,11729.6,3971.5572,17047.6,08/11/2020,,,
27-Oct-20,11889.4,3971.2453,17217.25,07/11/2020,,,
26-Oct-20,11767.75,3970.932,17009.85,06/11/2020,,,
23-Oct-20,11930.35,3970.5469,17306.2,05/11/2020,,,
22-Oct-20,11896.45,3970.2108,17171.3,04/11/2020,,,
21-Oct-20,11937.65,3969.8099,17065.45,03/11/2020,,,
